№ п/п,Дата,Время начала,Время окон- чания,Тип занятий,Участвуют группы,Участвуют подгруппы,Дисциплина,Число сту- дентов,Поме- щение,Преподаватель
5,12.10.2021вторник,9.0,10.3,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Математика,106,520 (I),проф. Максимова Людмила Анатольевна
6,12.10.2021вторник,10.4,12.1,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Математика,106,520 (I),проф. Максимова Людмила Анатольевна
7,12.10.2021вторник,12.2,13.5,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Информатика,106,520 (I),доц. Дорохов Виталий Сергеевич
8,12.10.2021вторник,14.3,16.0,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Информатика,106,520 (I),доц. Дорохов Виталий Сергеевич
9,13.10.2021среда,9.0,10.3,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Математика,106,520 (I),проф. Максимова Людмила Анатольевна
10,13.10.2021среда,10.4,12.1,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Математика,106,520 (I),проф. Максимова Людмила Анатольевна
11,13.10.2021среда,12.2,13.5,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Инженерная и компьютерная графика,106,520 (I),ст. преп. Гусарова Ольга Федоровна
12,13.10.2021среда,14.3,16.0,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Инженерная и компьютерная графика,106,520 (I),ст. преп. Гусарова Ольга Федоровна
13,14.10.2021четверг,9.0,10.3,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗББ-1911, ЗИИ-1911, ЗГС-1914, ЗИИ-1912, ЗИИ-1913",,Управление конфликтами,194,520 (I),доц. Паньшин Александр Игоревич
14,14.10.2021четверг,10.4,12.1,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗББ-1911, ЗИИ-1911, ЗГС-1914, ЗИИ-1912, ЗИИ-1913",,Управление конфликтами,194,520 (I),доц. Паньшин Александр Игоревич
15,14.10.2021четверг,12.2,13.5,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Философия и основы критического мышления,106,520 (I),ст. преп. Вермишова Полина Ивановна
16,14.10.2021четверг,14.3,16.0,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Философия и основы критического мышления,106,520 (I),ст. преп. Вермишова Полина Ивановна
17,14.10.2021четверг,16.1,16.55,орг. собрание,"ЗБЭ-1911, ЗБЭ-1912, ЗГС-1913, ЗГС-1914",,Библиотечный урок,89,,Лунькова Людмила Алексеевна
18,15.10.2021пятница,9.0,10.3,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Философия и основы критического мышления,106,520 (I),ст. преп. Вермишова Полина Ивановна
19,15.10.2021пятница,10.4,12.1,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Философия и основы критического мышления,106,520 (I),ст. преп. Вермишова Полина Ивановна
20,15.10.2021пятница,12.2,13.5,лекция,"ЗГС-1912, ЗГС-1911, ЗГС-1913, ЗГС-1914",,Инженерная и компьютерная графика,106,520 (I),ст. преп. Гусарова Ольга Федоровна
21,15.10.2021пятница,14.3,16.0,лекция,"ЗГС-1912, ЗГС-1911, ЗГС-1913, ЗГС-1914",,Инженерная и компьютерная графика,106,520 (I),ст. преп. Гусарова Ольга Федоровна
22,16.10.2021суббота,9.0,10.3,лекция,"ЗГС-1912, ЗГС-1911, ЗГС-1913, ЗГС-1914",,Физика,106,502 (I),доц. Климова Татьяна Федоровна
23,16.10.2021суббота,10.4,12.1,лекция,"ЗГС-1912, ЗГС-1911, ЗГС-1913, ЗГС-1914",,Физика,106,502 (I),доц. Климова Татьяна Федоровна
24,16.10.2021суббота,12.2,13.5,лекция,"ЗГС-1912, ЗГС-1911, ЗГС-1913, ЗГС-1914",,Физика,106,502 (I),доц. Климова Татьяна Федоровна
25,16.10.2021суббота,14.3,16.0,лекция,"ЗГС-1912, ЗГС-1911, ЗГС-1913, ЗГС-1914",,Физика,106,502 (I),доц. Климова Татьяна Федоровна
26,18.10.2021понедельник,9.0,10.3,прак. занятие,ЗГС-1913,,Математика,28,512 (I),проф. Максимова Людмила Анатольевна
27,18.10.2021понедельник,10.4,12.1,прак. занятие,ЗГС-1913,,Математика,28,512 (I),проф. Максимова Людмила Анатольевна
28,18.10.2021понедельник,12.2,13.5,прак. занятие,ЗГС-1913,,Инженерная и компьютерная графика,28,446 (I),ст. преп. Гусарова Ольга Федоровна
29,18.10.2021понедельник,14.3,16.0,прак. занятие,ЗГС-1913,,Инженерная и компьютерная графика,28,446 (I),ст. преп. Гусарова Ольга Федоровна
30,18.10.2021понедельник,16.1,17.4,прак. занятие,ЗГС-1913,,Математика,28,514 (I),проф. Максимова Людмила Анатольевна
31,19.10.2021вторник,9.0,10.3,прак. занятие,ЗГС-1913,,Инженерная и компьютерная графика,28,513 (I),ст. преп. Гусарова Ольга Федоровна
32,19.10.2021вторник,10.4,12.1,прак. занятие,ЗГС-1913,,Инженерная и компьютерная графика,28,513 (I),ст. преп. Гусарова Ольга Федоровна
33,19.10.2021вторник,12.2,13.5,прак. занятие,ЗГС-1913,,История транспорта,28,429а (I),доц. Ветерков Александр Иванович
34,19.10.2021вторник,14.3,16.0,прак. занятие,ЗГС-1913,,История транспорта,28,429а (I),доц. Ветерков Александр Иванович
35,20.10.2021среда,9.0,10.3,прак. занятие,,ЗГС-1913-1,Информатика,15,219б (I),доц. Дорохов Виталий Сергеевич
36,20.10.2021среда,10.4,12.1,прак. занятие,,ЗГС-1913-1,Информатика,15,219б (I),доц. Дорохов Виталий Сергеевич
37,20.10.2021среда,12.2,13.5,прак. занятие,ЗГС-1913,,Техники публичного выступления,28,512 (I),доц. Лапшина Светлана Сергеевна
38,20.10.2021среда,14.3,16.0,прак. занятие,ЗГС-1913,,Техники публичного выступления,28,512 (I),доц. Лапшина Светлана Сергеевна
39,20.10.2021среда,16.1,17.4,прак. занятие,ЗГС-1913,,Математика,28,514 (I),проф. Максимова Людмила Анатольевна
40,21.10.2021четверг,9.0,10.3,прак. занятие,,ЗГС-1913-2,Информатика,15,222г (I),доц. Дорохов Виталий Сергеевич
41,21.10.2021четверг,10.4,12.1,прак. занятие,,ЗГС-1913-2,Информатика,15,222г (I),доц. Дорохов Виталий Сергеевич
42,22.10.2021пятница,9.0,10.3,зачет,ЗГС-1913,,История транспорта,28,429а (I),доц. Ветерков Александр Иванович
43,22.10.2021пятница,10.4,12.1,зачет,ЗГС-1913,,История транспорта,28,429а (I),доц. Ветерков Александр Иванович
44,22.10.2021пятница,12.2,13.5,лабор. работа,,ЗГС-1913-1,Физика,15,504 (I),доц. Климова Татьяна Федоровна
45,22.10.2021пятница,14.3,16.0,лабор. работа,,ЗГС-1913-1,Физика,15,504 (I),доц. Климова Татьяна Федоровна
46,23.10.2021суббота,9.0,10.3,прак. занятие,ЗГС-1913,,Иностранный язык (английский),28,515 (I),асс. Носкова Анна Ивановна
47,23.10.2021суббота,10.4,12.1,прак. занятие,ЗГС-1913,,Иностранный язык (английский),28,515 (I),асс. Носкова Анна Ивановна
48,23.10.2021суббота,12.2,13.5,лабор. работа,,ЗГС-1913-2,Физика,15,504 (I),доц. Климова Татьяна Федоровна
49,23.10.2021суббота,14.3,16.0,лабор. работа,,ЗГС-1913-2,Физика,15,504 (I),доц. Климова Татьяна Федоровна
50,21.03.2022понедельник,12.2,13.5,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Тайм-менеджмент и личная эффективность,106,520 (I),ст. преп. Касымова Динара Маркленовна
51,21.03.2022понедельник,14.3,16.0,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Тайм-менеджмент и личная эффективность,106,520 (I),ст. преп. Касымова Динара Маркленовна
52,21.03.2022понедельник,16.1,17.4,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Россия в глобальной истории,106,520 (I),доц. Ветерков Александр Иванович
53,21.03.2022понедельник,17.5,19.2,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Россия в глобальной истории,106,520 (I),доц. Ветерков Александр Иванович
54,22.03.2022вторник,9.0,10.3,прак. занятие,ЗГС-1913,,Иностранный язык (английский),28,524 (I),асс. Носкова Анна Ивановна
55,22.03.2022вторник,10.4,12.1,прак. занятие,ЗГС-1913,,Иностранный язык (английский),28,524 (I),асс. Носкова Анна Ивановна
56,22.03.2022вторник,12.2,13.5,прак. занятие,ЗГС-1913,,Иностранный язык (английский),28,524 (I),асс. Носкова Анна Ивановна
57,22.03.2022вторник,14.3,16.0,прак. занятие,ЗГС-1913,,Иностранный язык (английский),28,524 (I),асс. Носкова Анна Ивановна
58,22.03.2022вторник,17.5,19.2,"прак. занятие, вебинар Teams",ЗГС-1913,,Физическая культура и спорт,28,,доц. Никольская Татьяна Вячеславовна
59,22.03.2022вторник,19.3,21.0,"прак. занятие, вебинар Teams",ЗГС-1913,,Физическая культура и спорт,28,,доц. Никольская Татьяна Вячеславовна
60,23.03.2022среда,9.0,10.3,прак. занятие,ЗГС-1913,,Иностранный язык (английский),28,532 (I),асс. Носкова Анна Ивановна
61,23.03.2022среда,10.4,12.1,прак. занятие,ЗГС-1913,,Иностранный язык (английский),28,532 (I),асс. Носкова Анна Ивановна
62,23.03.2022среда,12.2,13.5,прак. занятие,ЗГС-1913,,Иностранный язык (английский),28,532 (I),асс. Носкова Анна Ивановна
63,23.03.2022среда,14.3,16.0,прак. занятие,ЗГС-1913,,Иностранный язык (английский),28,532 (I),асс. Носкова Анна Ивановна
64,24.03.2022четверг,9.0,10.3,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Математика,106,520 (I),проф. Максимова Людмила Анатольевна
65,24.03.2022четверг,10.4,12.1,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Математика,106,520 (I),проф. Максимова Людмила Анатольевна
66,24.03.2022четверг,12.2,13.5,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Правовая культура,106,520 (I),доц. Ордина Ольга Николаевна
67,24.03.2022четверг,14.3,16.0,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Правовая культура,106,520 (I),доц. Ордина Ольга Николаевна
68,24.03.2022четверг,16.1,17.4,прак. занятие,ЗГС-1913,,Правовая культура,28,521 (I),доц. Ордина Ольга Николаевна
69,25.03.2022пятница,9.0,10.3,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Математика,106,520 (I),проф. Максимова Людмила Анатольевна
70,25.03.2022пятница,10.4,12.1,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Математика,106,520 (I),проф. Максимова Людмила Анатольевна
71,25.03.2022пятница,12.2,13.5,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Основы комплексной безопасности,106,473 (II),доц. Устинова Марина Владимировна
72,25.03.2022пятница,14.3,16.0,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Основы комплексной безопасности,106,473 (II),доц. Устинова Марина Владимировна
73,26.03.2022суббота,9.0,10.3,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Россия в глобальной истории,106,520 (I),доц. Ветерков Александр Иванович
74,26.03.2022суббота,10.4,12.1,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Россия в глобальной истории,106,520 (I),доц. Ветерков Александр Иванович
75,26.03.2022суббота,12.2,13.5,прак. занятие,ЗГС-1913,,Россия в глобальной истории,28,429а (I),доц. Ветерков Александр Иванович
76,26.03.2022суббота,14.3,16.0,прак. занятие,ЗГС-1913,,Россия в глобальной истории,28,429а (I),доц. Ветерков Александр Иванович
77,28.03.2022понедельник,9.0,10.3,прак. занятие,ЗГС-1913,,Математика,28,515 (I),проф. Максимова Людмила Анатольевна
78,28.03.2022понедельник,10.4,12.1,прак. занятие,ЗГС-1913,,Математика,28,515 (I),проф. Максимова Людмила Анатольевна
79,28.03.2022понедельник,12.2,13.5,прак. занятие,ЗГС-1913,,Тайм-менеджмент и личная эффективность,28,515 (I),ст. преп. Касымова Динара Маркленовна
80,28.03.2022понедельник,14.3,16.0,прак. занятие,ЗГС-1913,,Тайм-менеджмент и личная эффективность,28,515 (I),ст. преп. Касымова Динара Маркленовна
81,28.03.2022понедельник,16.1,17.4,прак. занятие,ЗГС-1913,,Правовая культура,28,521 (I),доц. Ордина Ольга Николаевна
82,29.03.2022вторник,9.0,10.3,прак. занятие,ЗГС-1913,,Основы комплексной безопасности,28,105 (III),асс. Самойлов Вадим Вадимович
83,29.03.2022вторник,10.4,12.1,прак. занятие,ЗГС-1913,,Основы комплексной безопасности,28,105 (III),асс. Самойлов Вадим Вадимович
84,29.03.2022вторник,12.2,13.5,прак. занятие,ЗГС-1913,,Философия и основы критического мышления,28,524 (I),ст. преп. Вермишова Полина Ивановна
85,29.03.2022вторник,14.3,16.0,прак. занятие,ЗГС-1913,,Философия и основы критического мышления,28,524 (I),ст. преп. Вермишова Полина Ивановна
86,30.03.2022среда,9.0,10.3,прак. занятие,,ЗГС-1913-1,Информатика,15,222в (I),доц. Дорохов Виталий Сергеевич
87,30.03.2022среда,9.0,10.3,прак. занятие,,ЗГС-1913-2,Информатика,15,222б (I),асс. Малых Алексей Николаевич
88,30.03.2022среда,10.4,12.1,прак. занятие,,ЗГС-1913-1,Информатика,15,222в (I),доц. Дорохов Виталий Сергеевич
89,30.03.2022среда,10.4,12.1,прак. занятие,,ЗГС-1913-2,Информатика,15,222б (I),асс. Малых Алексей Николаевич
90,30.03.2022среда,12.2,13.5,зачет,ЗГС-1913,,Иностранный язык (английский),28,532 (I),асс. Носкова Анна Ивановна
91,30.03.2022среда,14.3,16.0,зачет,ЗГС-1913,,Иностранный язык (английский),28,532 (I),асс. Носкова Анна Ивановна
92,30.03.2022среда,17.5,19.2,"прак. занятие, вебинар Teams",ЗГС-1913,,Физическая культура и спорт,28,,доц. Никольская Татьяна Вячеславовна
93,30.03.2022среда,19.3,21.0,"прак. занятие, вебинар Teams",ЗГС-1913,,Физическая культура и спорт,28,,доц. Никольская Татьяна Вячеславовна
94,31.03.2022четверг,9.0,10.3,прак. занятие,ЗГС-1913,,Математика,28,532 (I),проф. Максимова Людмила Анатольевна
95,31.03.2022четверг,10.4,12.1,прак. занятие,ЗГС-1913,,Математика,28,532 (I),проф. Максимова Людмила Анатольевна
96,31.03.2022четверг,12.2,13.5,прак. занятие,ЗГС-1913,,Физика,28,504 (I),доц. Климова Татьяна Федоровна
97,31.03.2022четверг,14.3,16.0,прак. занятие,ЗГС-1913,,Физика,28,504 (I),доц. Климова Татьяна Федоровна
98,01.04.2022пятница,9.0,10.3,прак. занятие,,ЗГС-1913-1,Информатика,15,222в (I),доц. Дорохов Виталий Сергеевич
99,01.04.2022пятница,9.0,10.3,прак. занятие,,ЗГС-1913-2,Информатика,15,222б (I),асс. Малых Алексей Николаевич
100,01.04.2022пятница,10.4,12.1,прак. занятие,,ЗГС-1913-1,Информатика,15,222в (I),доц. Дорохов Виталий Сергеевич
101,01.04.2022пятница,10.4,12.1,прак. занятие,,ЗГС-1913-2,Информатика,15,222б (I),асс. Малых Алексей Николаевич
102,01.04.2022пятница,12.2,13.5,зачет,ЗГС-1913,,Техники публичного выступления,28,522 (I),доц. Лапшина Светлана Сергеевна
103,01.04.2022пятница,14.3,16.0,зачет,ЗГС-1913,,Техники публичного выступления,28,522 (I),доц. Лапшина Светлана Сергеевна
104,22.06.2022среда,12.2,13.5,прак. занятие,ЗГС-1913,,Философия и основы критического мышления,28,514 (I),ст. преп. Вермишова Полина Ивановна
105,22.06.2022среда,14.3,16.0,прак. занятие,ЗГС-1913,,Философия и основы критического мышления,28,514 (I),ст. преп. Вермишова Полина Ивановна
106,23.06.2022четверг,9.0,10.3,прак. занятие,ЗГС-1913,,Управление конфликтами,28,429а (I),доц. Паньшин Александр Игоревич
107,23.06.2022четверг,10.4,12.1,прак. занятие,ЗГС-1913,,Управление конфликтами,28,429а (I),доц. Паньшин Александр Игоревич
108,23.06.2022четверг,12.2,13.5,защита к.р. №1,ЗГС-1913,,Математика,28,532 (I),проф. Максимова Людмила Анатольевна
109,23.06.2022четверг,14.3,16.0,защита к.р. №1,ЗГС-1913,,Математика,28,532 (I),проф. Максимова Людмила Анатольевна
110,24.06.2022пятница,9.0,10.3,защита к.р. №1,ЗГС-1913,,Инженерная и компьютерная графика,28,445 (I),ст. преп. Гусарова Ольга Федоровна
111,24.06.2022пятница,10.4,12.1,защита к.р. №1,ЗГС-1913,,Инженерная и компьютерная графика,28,445 (I),ст. преп. Гусарова Ольга Федоровна
112,27.06.2022понедельник,9.0,10.3,зачет,ЗГС-1913,,Основы комплексной безопасности,28,106 (III),доц. Устинова Марина Владимировна
113,27.06.2022понедельник,10.4,12.1,зачет,ЗГС-1913,,Основы комплексной безопасности,28,106 (III),доц. Устинова Марина Владимировна
114,27.06.2022понедельник,12.2,13.5,зачет,ЗГС-1913,,Тайм-менеджмент и личная эффективность,28,507 (I),ст. преп. Касымова Динара Маркленовна
115,27.06.2022понедельник,14.3,16.0,зачет,ЗГС-1913,,Тайм-менеджмент и личная эффективность,28,507 (I),ст. преп. Касымова Динара Маркленовна
116,27.06.2022понедельник,16.1,16.55,консультация,"ЗГС-1914, ЗГС-1913, ЗГС-1912, ЗГС-1911",,Инженерная и компьютерная графика,106,520 (I),ст. преп. Гусарова Ольга Федоровна
117,28.06.2022вторник,9.0,10.3,зачет,ЗГС-1913,,Правовая культура,28,523 (I),доц. Ордина Ольга Николаевна
118,28.06.2022вторник,10.4,12.1,зачет,ЗГС-1913,,Правовая культура,28,523 (I),доц. Ордина Ольга Николаевна
119,28.06.2022вторник,16.1,16.55,консультация,"ЗГС-1914, ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗИТ-1911, ЗИТ-1912",,Информатика,159,516 (I),доц. Дорохов Виталий Сергеевич
120,29.06.2022среда,9.0,10.3,зачет,ЗГС-1913,,Россия в глобальной истории,28,429а (I),доц. Ветерков Александр Иванович
121,29.06.2022среда,10.4,12.1,зачет,ЗГС-1913,,Россия в глобальной истории,28,429а (I),доц. Ветерков Александр Иванович
122,30.06.2022четверг,9.0,10.3,зачет,ЗГС-1913,,Физика,28,504 (I),доц. Климова Татьяна Федоровна
123,30.06.2022четверг,10.4,12.1,зачет,ЗГС-1913,,Физика,28,504 (I),доц. Климова Татьяна Федоровна
124,01.07.2022пятница,9.0,10.3,экзамен,ЗГС-1913,,Инженерная и компьютерная графика,28,446 (I),ст. преп. Гусарова Ольга Федоровна
125,01.07.2022пятница,10.4,12.1,экзамен,ЗГС-1913,,Инженерная и компьютерная графика,28,446 (I),ст. преп. Гусарова Ольга Федоровна
126,01.07.2022пятница,12.2,13.5,зачет,ЗГС-1913,,Математика,28,532 (I),проф. Максимова Людмила Анатольевна
127,01.07.2022пятница,14.3,16.0,зачет,ЗГС-1913,,Математика,28,532 (I),проф. Максимова Людмила Анатольевна
128,01.07.2022пятница,16.1,16.55,консультация,"ЗГС-1912, ЗГС-1911, ЗГС-1913, ЗГС-1914",,Философия и основы критического мышления,106,520 (I),ст. преп. Вермишова Полина Ивановна
129,02.07.2022суббота,9.0,10.3,экзамен,ЗГС-1913,,Информатика,28,313а (I),доц. Дорохов Виталий Сергеевич
130,02.07.2022суббота,10.4,12.1,экзамен,ЗГС-1913,,Информатика,28,313а (I),доц. Дорохов Виталий Сергеевич
131,04.07.2022понедельник,9.0,10.3,экзамен,ЗГС-1913,,Философия и основы критического мышления,28,521 (I),ст. преп. Вермишова Полина Ивановна
132,04.07.2022понедельник,10.4,12.1,экзамен,ЗГС-1913,,Философия и основы критического мышления,28,521 (I),ст. преп. Вермишова Полина Ивановна
133,05.07.2022вторник,9.0,10.3,зачет,ЗГС-1913,,Физическая культура и спорт,28,522 (I),ст. преп. Лонский Ярослав Александрович
134,05.07.2022вторник,10.4,12.1,зачет,ЗГС-1913,,Физическая культура и спорт,28,522 (I),ст. преп. Лонский Ярослав Александрович
135,06.07.2022среда,9.0,10.3,зачет,ЗГС-1913,,Управление конфликтами,28,522 (I),доц. Паньшин Александр Игоревич
136,06.07.2022среда,10.4,12.1,зачет,ЗГС-1913,,Управление конфликтами,28,522 (I),доц. Паньшин Александр Игоревич
1,11.10.2021понедельник,12.2,13.5,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Техники публичного выступления,106,520 (I),доц. Лапшина Светлана Сергеевна
2,11.10.2021понедельник,14.3,16.0,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Техники публичного выступления,106,520 (I),доц. Лапшина Светлана Сергеевна
3,11.10.2021понедельник,16.1,17.4,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗББ-1911, ЗИИ-1911, ЗГС-1914, ЗИИ-1912, ЗИИ-1913",,История транспорта,194,520 (I),доц. Ветерков Александр Иванович
4,11.10.2021понедельник,17.5,19.2,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗББ-1911, ЗИИ-1911, ЗГС-1914, ЗИИ-1912, ЗИИ-1913",,История транспорта,194,520 (I),доц. Ветерков Александр Иванович
5,11.10.2021понедельник,19.3,21.0,прак. занятие,ЗГС-1914,,История транспорта,28,429а (I),доц. Ветерков Александр Иванович
6,12.10.2021вторник,9.0,10.3,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Математика,106,520 (I),проф. Максимова Людмила Анатольевна
7,12.10.2021вторник,10.4,12.1,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Математика,106,520 (I),проф. Максимова Людмила Анатольевна
8,12.10.2021вторник,12.2,13.5,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Информатика,106,520 (I),доц. Дорохов Виталий Сергеевич
9,12.10.2021вторник,14.3,16.0,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Информатика,106,520 (I),доц. Дорохов Виталий Сергеевич
10,13.10.2021среда,9.0,10.3,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Математика,106,520 (I),проф. Максимова Людмила Анатольевна
11,13.10.2021среда,10.4,12.1,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Математика,106,520 (I),проф. Максимова Людмила Анатольевна
12,13.10.2021среда,12.2,13.5,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Инженерная и компьютерная графика,106,520 (I),ст. преп. Гусарова Ольга Федоровна
13,13.10.2021среда,14.3,16.0,лекция,"ЗГС-1911, ЗГС-1912, ЗГС-1913, ЗГС-1914",,Инженерная и компьютерная графика,106,520 (I),ст. преп. Гусарова Ольга Федоровна
14,13.10.2021среда,16.1,17.4,прак. занятие,ЗГС-1914,,Инженерная и компьютерная графика,28,403 (I),ст. преп. Гусарова Ольга Федоровна
15,14.10.2021четверг,9.0,10.3,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗББ-1911, ЗИИ-1911, ЗГС-1914, ЗИИ-1912, ЗИИ-1913",,Управление конфликтами,194,520 (I),доц. Паньшин Александр Игоревич
16,14.10.2021четверг,10.4,12.1,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗББ-1911, ЗИИ-1911, ЗГС-1914, ЗИИ-1912, ЗИИ-1913",,Управление конфликтами,194,520 (I),доц. Паньшин Александр Игоревич
17,14.10.2021четверг,12.2,13.5,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Философия и основы критического мышления,106,520 (I),ст. преп. Вермишова Полина Ивановна
18,14.10.2021четверг,14.3,16.0,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Философия и основы критического мышления,106,520 (I),ст. преп. Вермишова Полина Ивановна
19,14.10.2021четверг,16.1,16.55,орг. собрание,"ЗБЭ-1911, ЗБЭ-1912, ЗГС-1913, ЗГС-1914",,Библиотечный урок,89,,Лунькова Людмила Алексеевна
20,15.10.2021пятница,9.0,10.3,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Философия и основы критического мышления,106,520 (I),ст. преп. Вермишова Полина Ивановна
21,15.10.2021пятница,10.4,12.1,лекция,"ЗГС-1913, ЗГС-1912, ЗГС-1911, ЗГС-1914",,Философия и основы критического мышления,106,520 (I),ст. преп. Вермишова Полина Ивановна
22,15.10.2021пятница,12.2,13.5,лекция,"ЗГС-1912, ЗГС-1911, ЗГС-1913, ЗГС-1914",,Инженерная и компьютерная графика,106,520 (I),ст. преп. Гусарова Ольга Федоровна
23,15.10.2021пятница,14.3,16.0,лекция,"ЗГС-1912, ЗГС-1911, ЗГС-1913, ЗГС-1914",,Инженерная и компьютерная графика,106,520 (I),ст. преп. Гусарова Ольга Федоровна
24,15.10.2021пятница,16.1,17.4,прак. занятие,ЗГС-1914,,Инженерная и компьютерная графика,28,403 (I),ст. преп. Гусарова Ольга Федоровна
25,16.10.2021суббота,9.0,10.3,лекция,"ЗГС-1912, ЗГС-1911, ЗГС-1913, ЗГС-1914",,Физика,106,502 (I),доц. Климова Татьяна Федоровна
26,16.10.2021суббота,10.4,12.1,лекция,"ЗГС-1912, ЗГС-1911, ЗГС-1913, ЗГС-1914",,Физика,106,502 (I),доц. Климова Татьяна Федоровна
27,16.10.2021суббота,12.2,13.5,лекция,"ЗГС-1912, ЗГС-1911, ЗГС-1913, ЗГС-1914",,Физика,106,502 (I),доц. Климова Татьяна Федоровна
28,16.10.2021суббота,14.3,16.0,лекция,"ЗГС-1912, ЗГС-1911, ЗГС-1913, ЗГС-1914",,Физика,106,502 (I),доц. Климова Татьяна Федоровна
29,18.10.2021понедельник,9.0,10.3,прак. занятие,,ЗГС-1914-1,Информатика,15,219а (I),асс. Малых Алексей Николаевич
30,18.10.2021понедельник,9.0,10.3,прак. занятие,,ЗГС-1914-2,Информатика,15,222б (I),асс. Истомин Александр Владимирович
31,18.10.2021понедельник,10.4,12.1,прак. занятие,,ЗГС-1914-1,Информатика,15,219а (I),асс. Малых Алексей Николаевич
32,18.10.2021понедельник,10.4,12.1,прак. занятие,,ЗГС-1914-2,Информатика,15,222б (I),асс. Истомин Александр Владимирович
33,18.10.2021понедельник,16.1,17.4,прак. занятие,ЗГС-1914,,История транспорта,28,429а (I),доц. Ветерков Александр Иванович
34,19.10.2021вторник,9.0,10.3,прак. занятие,ЗГС-1914,,Математика,28,516 (I),проф. Максимова Людмила Анатольевна
35,19.10.2021вторник,10.4,12.1,прак. занятие,ЗГС-1914,,Математика,28,516 (I),проф. Максимова Людмила Анатольевна
36,19.10.2021вторник,12.2,13.5,прак. занятие,ЗГС-1914,,Математика,28,528 (I),проф. Максимова Людмила Анатольевна
37,19.10.2021вторник,14.3,16.0,прак. занятие,ЗГС-1914,,Математика,28,528 (I),проф. Максимова Людмила Анатольевна
38,20.10.2021среда,9.0,10.3,лабор. работа,ЗГС-1914,,Физика,28,523 (I),доц. Климова Татьяна Федоровна
39,20.10.2021среда,10.4,12.1,лабор. работа,ЗГС-1914,,Физика,28,523 (I),доц. Климова Татьяна Федоровна
